state,volume
Alabama,4820
Alaska,1177
Arkansas,610
Arizona,2799
California,4859
Colorado,1450
Connecticut,4466
Delaware,2813
Florida,2286
Georgia,3239
Hawaii,3648
Iowa,3903
Idaho,2722
Illinois,2093
Indiana,3840
Kansas,2266
Kentucky,4849
Louisiana,2461
Maine,833
Maryland,1358
Massachusetts,2573
Michigan,1783
Minnesota,2647
Missouri,545
Mississippi,4694
Montana,4859
North Carolina,1593
North Dakota,1910
Nebraska,303
New Hampshire,1959
New Jersey,2557
New Mexico,2571
Nevada,1715
New York,2284
Ohio,2939
Oklahoma,2059
Oregon,1915
Pennsylvania,2123
Rhode Island,92
South Carolina,2286
South Dakota,4118
Tennessee,1352
Texas,4362
Utah,1828
Virginia,164
Vermont,1451
Washington,4711
Wisconsin,3722
West Virginia,2430
Wyoming,87
